,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
106,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,4357,Single Adults,all,Title 8
107,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,4077,Single Adults,all,Title 8
108,%all%,%all%,%all%,%all%,%all%,%all%,582856,%many-values%,all,Title 8
109,%all%,%all%,%all%,%all%,AUG,AUG,115473,%many-values%,all,Title 8
110,%all%,%all%,%all%,%all%,JUL,JUL,117330,%many-values%,all,Title 8
111,%all%,%all%,%all%,%all%,JUN,JUN,84105,%many-values%,all,Title 8
112,%all%,%all%,%all%,%all%,MAY,MAY,67200,%many-values%,all,Title 8
113,%all%,%all%,%all%,%all%,APR,APR,66202,%many-values%,all,Title 8
114,%all%,%all%,%all%,%all%,MAR,MAR,64030,%many-values%,all,Title 8
115,%all%,%all%,%all%,%all%,FEB,FEB,26834,%many-values%,all,Title 8
116,%all%,%all%,%all%,%all%,JAN,JAN,14109,%many-values%,all,Title 8
117,%all%,%all%,%all%,%all%,DEC,DEC,11652,%many-values%,all,Title 8
118,%all%,%all%,%all%,%all%,NOV,NOV,8883,%many-values%,all,Title 8
119,%all%,%all%,%all%,%all%,OCT,OCT,7038,%many-values%,all,Title 8
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,21167,%many-values%,all,Title 42
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,2267,%many-values%,all,Title 42
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,2036,%many-values%,all,Title 42
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,1893,%many-values%,all,Title 42
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,1903,%many-values%,all,Title 42
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,1751,%many-values%,all,Title 42
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,2003,%many-values%,all,Title 42
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,1947,%many-values%,all,Title 42
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,1775,%many-values%,all,Title 42
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,1747,%many-values%,all,Title 42
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,1942,%many-values%,all,Title 42
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1903,%many-values%,all,Title 42
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,1385,Accompanied Minors (AM),all,Title 42
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,253,Accompanied Minors (AM),all,Title 42
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,277,Accompanied Minors (AM),all,Title 42
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,128,Accompanied Minors (AM),all,Title 42
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,115,Accompanied Minors (AM),all,Title 42
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,92,Accompanied Minors (AM),all,Title 42
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,97,Accompanied Minors (AM),all,Title 42
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,90,Accompanied Minors (AM),all,Title 42
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,86,Accompanied Minors (AM),all,Title 42
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,64,Accompanied Minors (AM),all,Title 42
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,82,Accompanied Minors (AM),all,Title 42
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,101,Accompanied Minors (AM),all,Title 42
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,91,Unaccompanied Children (UC) / Single Minors,all,Title 42
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,1,Unaccompanied Children (UC) / Single Minors,all,Title 42
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,2,Unaccompanied Children (UC) / Single Minors,all,Title 42
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,37,Unaccompanied Children (UC) / Single Minors,all,Title 42
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,51,Unaccompanied Children (UC) / Single Minors,all,Title 42
29,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,19691,Single Adults,all,Title 42
30,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,2014,Single Adults,all,Title 42
31,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,1759,Single Adults,all,Title 42
32,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,1765,Single Adults,all,Title 42
33,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1788,Single Adults,all,Title 42
34,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,1659,Single Adults,all,Title 42
35,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,1906,Single Adults,all,Title 42
36,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,1856,Single Adults,all,Title 42
37,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,1689,Single Adults,all,Title 42
38,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,1681,Single Adults,all,Title 42
39,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,1823,Single Adults,all,Title 42
40,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,1751,Single Adults,all,Title 42
41,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,937628,%many-values%,all,Title 42
42,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,91147,%many-values%,all,Title 42
43,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,94168,%many-values%,all,Title 42
44,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,103022,%many-values%,all,Title 42
45,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,111460,%many-values%,all,Title 42
46,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,110846,%many-values%,all,Title 42
47,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,107248,%many-values%,all,Title 42
48,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,72318,%many-values%,all,Title 42
49,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,62530,%many-values%,all,Title 42
50,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,60596,%many-values%,all,Title 42
51,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,61288,%many-values%,all,Title 42
52,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,63005,%many-values%,all,Title 42
53,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,4667,Unaccompanied Children (UC) / Single Minors,all,Title 42
54,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,26,Unaccompanied Children (UC) / Single Minors,all,Title 42
55,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,1,Unaccompanied Children (UC) / Single Minors,all,Title 42
56,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,4,Unaccompanied Children (UC) / Single Minors,all,Title 42
57,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,18,Unaccompanied Children (UC) / Single Minors,all,Title 42
58,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,1482,Unaccompanied Children (UC) / Single Minors,all,Title 42
59,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,3136,Unaccompanied Children (UC) / Single Minors,all,Title 42
60,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,108416,Individuals in a Family Unit (FMUA),all,Title 42
61,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,16240,Individuals in a Family Unit (FMUA),all,Title 42
62,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,10103,Individuals in a Family Unit (FMUA),all,Title 42
63,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,8029,Individuals in a Family Unit (FMUA),all,Title 42
64,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,9320,Individuals in a Family Unit (FMUA),all,Title 42
65,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,17934,Individuals in a Family Unit (FMUA),all,Title 42
66,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,21572,Individuals in a Family Unit (FMUA),all,Title 42
67,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,9478,Individuals in a Family Unit (FMUA),all,Title 42
68,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,4546,Individuals in a Family Unit (FMUA),all,Title 42
69,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,3332,Individuals in a Family Unit (FMUA),all,Title 42
70,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,3641,Individuals in a Family Unit (FMUA),all,Title 42
71,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,4221,Individuals in a Family Unit (FMUA),all,Title 42
72,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,824545,Single Adults,all,Title 42
73,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,74881,Single Adults,all,Title 42
74,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,84065,Single Adults,all,Title 42
75,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,94993,Single Adults,all,Title 42
76,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,102140,Single Adults,all,Title 42
77,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,92911,Single Adults,all,Title 42
78,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,85676,Single Adults,all,Title 42
79,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,62836,Single Adults,all,Title 42
80,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,57966,Single Adults,all,Title 42
81,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,57264,Single Adults,all,Title 42
82,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,56165,Single Adults,all,Title 42
83,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,55648,Single Adults,all,Title 42
84,%all%,%all%,%all%,%all%,%all%,%all%,958795,%many-values%,all,Title 42
85,%all%,%all%,%all%,%all%,AUG,AUG,93414,%many-values%,all,Title 42
86,%all%,%all%,%all%,%all%,JUL,JUL,96204,%many-values%,all,Title 42
87,%all%,%all%,%all%,%all%,JUN,JUN,104915,%many-values%,all,Title 42
88,%all%,%all%,%all%,%all%,MAY,MAY,113363,%many-values%,all,Title 42
89,%all%,%all%,%all%,%all%,APR,APR,112597,%many-values%,all,Title 42
90,%all%,%all%,%all%,%all%,MAR,MAR,109251,%many-values%,all,Title 42
91,%all%,%all%,%all%,%all%,FEB,FEB,74265,%many-values%,all,Title 42
92,%all%,%all%,%all%,%all%,JAN,JAN,64305,%many-values%,all,Title 42
93,%all%,%all%,%all%,%all%,DEC,DEC,62343,%many-values%,all,Title 42
94,%all%,%all%,%all%,%all%,NOV,NOV,63230,%many-values%,all,Title 42
95,%all%,%all%,%all%,%all%,OCT,OCT,64908,%many-values%,all,Title 42
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,2665,%many-values%,El Salvador,all
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,718,%many-values%,El Salvador,all
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,562,%many-values%,El Salvador,all
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,527,%many-values%,El Salvador,all
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,411,%many-values%,El Salvador,all
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,200,%many-values%,El Salvador,all
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,52,%many-values%,El Salvador,all
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,37,%many-values%,El Salvador,all
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,47,%many-values%,El Salvador,all
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,39,%many-values%,El Salvador,all
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,43,%many-values%,El Salvador,all
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,29,%many-values%,El Salvador,all
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,28,Accompanied Minors (AM),El Salvador,all
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,1,Accompanied Minors (AM),El Salvador,all
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,3,Accompanied Minors (AM),El Salvador,all
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,5,Accompanied Minors (AM),El Salvador,all
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,6,Accompanied Minors (AM),El Salvador,all
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,3,Accompanied Minors (AM),El Salvador,all
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,4,Accompanied Minors (AM),El Salvador,all
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,1,Accompanied Minors (AM),El Salvador,all
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,2,Accompanied Minors (AM),El Salvador,all
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,2,Accompanied Minors (AM),El Salvador,all
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,1,Accompanied Minors (AM),El Salvador,all
23,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,53,Unaccompanied Children (UC) / Single Minors,El Salvador,all
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,10,Unaccompanied Children (UC) / Single Minors,El Salvador,all
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,3,Unaccompanied Children (UC) / Single Minors,El Salvador,all
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,6,Unaccompanied Children (UC) / Single Minors,El Salvador,all
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,12,Unaccompanied Children (UC) / Single Minors,El Salvador,all
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,4,Unaccompanied Children (UC) / Single Minors,El Salvador,all
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,3,Unaccompanied Children (UC) / Single Minors,El Salvador,all
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,5,Unaccompanied Children (UC) / Single Minors,El Salvador,all
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,1,Unaccompanied Children (UC) / Single Minors,El Salvador,all
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,5,Unaccompanied Children (UC) / Single Minors,El Salvador,all
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,4,Unaccompanied Children (UC) / Single Minors,El Salvador,all
34,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,1698,Individuals in a Family Unit (FMUA),El Salvador,all
35,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,506,Individuals in a Family Unit (FMUA),El Salvador,all
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,408,Individuals in a Family Unit (FMUA),El Salvador,all
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,380,Individuals in a Family Unit (FMUA),El Salvador,all
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,278,Individuals in a Family Unit (FMUA),El Salvador,all
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,89,Individuals in a Family Unit (FMUA),El Salvador,all
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,13,Individuals in a Family Unit (FMUA),El Salvador,all
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,11,Individuals in a Family Unit (FMUA),El Salvador,all
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,4,Individuals in a Family Unit (FMUA),El Salvador,all
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,5,Individuals in a Family Unit (FMUA),El Salvador,all
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,4,Individuals in a Family Unit (FMUA),El Salvador,all
