,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
13,2020,2020,JUN,JUN,2714,all,all,Single Adults,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,20968,all,all,Single Adults,Title 8
15,2018,2018,MAY,MAY,29743,all,all,Single Adults,Title 8
16,2019,2019,MAY,MAY,43598,all,all,Single Adults,Title 8
17,2020,2020,MAY,MAY,2100,all,all,Single Adults,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,17684,all,all,Single Adults,Title 8
19,2018,2018,APR,APR,29759,all,all,Single Adults,Title 8
20,2019,2019,APR,APR,37745,all,all,Single Adults,Title 8
21,2020,2020,APR,APR,1409,all,all,Single Adults,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,16931,all,all,Single Adults,Title 8
23,2018,2018,MAR,MAR,30223,all,all,Single Adults,Title 8
24,2019,2019,MAR,MAR,36841,all,all,Single Adults,Title 8
25,2020,2020,MAR,MAR,20378,all,all,Single Adults,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,12536,all,all,Single Adults,Title 8
27,2018,2018,FEB,FEB,22886,all,all,Single Adults,Title 8
28,2019,2019,FEB,FEB,28486,all,all,Single Adults,Title 8
29,2020,2020,FEB,FEB,26042,all,all,Single Adults,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,7269,all,all,Single Adults,Title 8
31,2018,2018,JAN,JAN,22134,all,all,Single Adults,Title 8
32,2019,2019,JAN,JAN,24315,all,all,Single Adults,Title 8
33,2020,2020,JAN,JAN,25278,all,all,Single Adults,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,5538,all,all,Single Adults,Title 8
35,2018,2018,DEC,DEC,21849,all,all,Single Adults,Title 8
36,2019,2019,DEC,DEC,23712,all,all,Single Adults,Title 8
37,2020,2020,DEC,DEC,24812,all,all,Single Adults,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,5592,all,all,Single Adults,Title 8
39,2018,2018,NOV,NOV,22973,all,all,Single Adults,Title 8
40,2019,2019,NOV,NOV,26584,all,all,Single Adults,Title 8
41,2020,2020,NOV,NOV,25769,all,all,Single Adults,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,5143,all,all,Single Adults,Title 8
43,2018,2018,OCT,OCT,22476,all,all,Single Adults,Title 8
44,2019,2019,OCT,OCT,27983,all,all,Single Adults,Title 8
45,2020,2020,OCT,OCT,28117,all,all,Single Adults,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,4875,all,all,Single Adults,Title 8
0,2020,2020,SEP,SEP,44396,all,all,Single Adults,Title 42
1,2020,2020,AUG,AUG,39582,all,all,Single Adults,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,76895,all,all,Single Adults,Title 42
3,2020,2020,JUL,JUL,32950,all,all,Single Adults,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,85824,all,all,Single Adults,Title 42
5,2020,2020,JUN,JUN,26909,all,all,Single Adults,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,96758,all,all,Single Adults,Title 42
7,2020,2020,MAY,MAY,19047,all,all,Single Adults,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,103928,all,all,Single Adults,Title 42
9,2020,2020,APR,APR,14200,all,all,Single Adults,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,94570,all,all,Single Adults,Title 42
11,2020,2020,MAR,MAR,6186,all,all,Single Adults,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,87582,all,all,Single Adults,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,64692,all,all,Single Adults,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,59655,all,all,Single Adults,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,58945,all,all,Single Adults,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,57988,all,all,Single Adults,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,57399,all,all,Single Adults,Title 42
0,2018,2018,SEP,SEP,4819,all,all,UC / Single Minors,all
1,2019,2019,SEP,SEP,3543,all,all,UC / Single Minors,all
2,2020,2020,SEP,SEP,3883,all,all,UC / Single Minors,all
3,2018,2018,AUG,AUG,4880,all,all,UC / Single Minors,all
4,2019,2019,AUG,AUG,4119,all,all,UC / Single Minors,all
5,2020,2020,AUG,AUG,3103,all,all,UC / Single Minors,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,18847,all,all,UC / Single Minors,all
7,2018,2018,JUL,JUL,4406,all,all,UC / Single Minors,all
8,2019,2019,JUL,JUL,5846,all,all,UC / Single Minors,all
9,2020,2020,JUL,JUL,2509,all,all,UC / Single Minors,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,18958,all,all,UC / Single Minors,all
11,2018,2018,JUN,JUN,5606,all,all,UC / Single Minors,all
12,2019,2019,JUN,JUN,7678,all,all,UC / Single Minors,all
13,2020,2020,JUN,JUN,1691,all,all,UC / Single Minors,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,15232,all,all,UC / Single Minors,all
15,2018,2018,MAY,MAY,7192,all,all,UC / Single Minors,all
16,2019,2019,MAY,MAY,11861,all,all,UC / Single Minors,all
17,2020,2020,MAY,MAY,1008,all,all,UC / Single Minors,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,14054,all,all,UC / Single Minors,all
19,2018,2018,APR,APR,5331,all,all,UC / Single Minors,all
20,2019,2019,APR,APR,9265,all,all,UC / Single Minors,all
21,2020,2020,APR,APR,741,all,all,UC / Single Minors,all
22,2021 (FYTD),2021 (FYTD),APR,APR,17067,all,all,UC / Single Minors,all
23,2018,2018,MAR,MAR,5244,all,all,UC / Single Minors,all
24,2019,2019,MAR,MAR,9380,all,all,UC / Single Minors,all
25,2020,2020,MAR,MAR,3221,all,all,UC / Single Minors,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,18872,all,all,UC / Single Minors,all
27,2018,2018,FEB,FEB,3759,all,all,UC / Single Minors,all
28,2019,2019,FEB,FEB,7243,all,all,UC / Single Minors,all
29,2020,2020,FEB,FEB,3490,all,all,UC / Single Minors,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,9403,all,all,UC / Single Minors,all
31,2018,2018,JAN,JAN,3922,all,all,UC / Single Minors,all
32,2019,2019,JAN,JAN,5515,all,all,UC / Single Minors,all
33,2020,2020,JAN,JAN,3076,all,all,UC / Single Minors,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,5820,all,all,UC / Single Minors,all
35,2018,2018,DEC,DEC,4995,all,all,UC / Single Minors,all
36,2019,2019,DEC,DEC,5104,all,all,UC / Single Minors,all
37,2020,2020,DEC,DEC,3639,all,all,UC / Single Minors,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,4965,all,all,UC / Single Minors,all
39,2018,2018,NOV,NOV,4698,all,all,UC / Single Minors,all
40,2019,2019,NOV,NOV,5662,all,all,UC / Single Minors,all
41,2020,2020,NOV,NOV,3677,all,all,UC / Single Minors,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,4591,all,all,UC / Single Minors,all
43,2018,2018,OCT,OCT,3808,all,all,UC / Single Minors,all
44,2019,2019,OCT,OCT,5418,all,all,UC / Single Minors,all
45,2020,2020,OCT,OCT,3201,all,all,UC / Single Minors,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,4813,all,all,UC / Single Minors,all
0,2018,2018,SEP,SEP,4819,all,all,UC / Single Minors,Title 8
1,2019,2019,SEP,SEP,3543,all,all,UC / Single Minors,Title 8
2,2020,2020,SEP,SEP,1287,all,all,UC / Single Minors,Title 8
3,2018,2018,AUG,AUG,4880,all,all,UC / Single Minors,Title 8
4,2019,2019,AUG,AUG,4119,all,all,UC / Single Minors,Title 8
5,2020,2020,AUG,AUG,500,all,all,UC / Single Minors,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,18821,all,all,UC / Single Minors,Title 8
7,2018,2018,JUL,JUL,4406,all,all,UC / Single Minors,Title 8
8,2019,2019,JUL,JUL,5846,all,all,UC / Single Minors,Title 8
9,2020,2020,JUL,JUL,212,all,all,UC / Single Minors,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,18958,all,all,UC / Single Minors,Title 8
11,2018,2018,JUN,JUN,5606,all,all,UC / Single Minors,Title 8
12,2019,2019,JUN,JUN,7678,all,all,UC / Single Minors,Title 8
13,2020,2020,JUN,JUN,128,all,all,UC / Single Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,15232,all,all,UC / Single Minors,Title 8
15,2018,2018,MAY,MAY,7192,all,all,UC / Single Minors,Title 8
16,2019,2019,MAY,MAY,11861,all,all,UC / Single Minors,Title 8
17,2020,2020,MAY,MAY,54,all,all,UC / Single Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,14054,all,all,UC / Single Minors,Title 8
19,2018,2018,APR,APR,5331,all,all,UC / Single Minors,Title 8
20,2019,2019,APR,APR,9265,all,all,UC / Single Minors,Title 8
21,2020,2020,APR,APR,63,all,all,UC / Single Minors,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,17066,all,all,UC / Single Minors,Title 8
23,2018,2018,MAR,MAR,5244,all,all,UC / Single Minors,Title 8
24,2019,2019,MAR,MAR,9380,all,all,UC / Single Minors,Title 8
25,2020,2020,MAR,MAR,2755,all,all,UC / Single Minors,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,18872,all,all,UC / Single Minors,Title 8
27,2018,2018,FEB,FEB,3759,all,all,UC / Single Minors,Title 8
28,2019,2019,FEB,FEB,7243,all,all,UC / Single Minors,Title 8
29,2020,2020,FEB,FEB,3490,all,all,UC / Single Minors,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,9398,all,all,UC / Single Minors,Title 8
31,2018,2018,JAN,JAN,3922,all,all,UC / Single Minors,Title 8
32,2019,2019,JAN,JAN,5515,all,all,UC / Single Minors,Title 8
33,2020,2020,JAN,JAN,3076,all,all,UC / Single Minors,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,5802,all,all,UC / Single Minors,Title 8
35,2018,2018,DEC,DEC,4995,all,all,UC / Single Minors,Title 8
36,2019,2019,DEC,DEC,5104,all,all,UC / Single Minors,Title 8
37,2020,2020,DEC,DEC,3639,all,all,UC / Single Minors,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,4963,all,all,UC / Single Minors,Title 8
39,2018,2018,NOV,NOV,4698,all,all,UC / Single Minors,Title 8
40,2019,2019,NOV,NOV,5662,all,all,UC / Single Minors,Title 8
41,2020,2020,NOV,NOV,3677,all,all,UC / Single Minors,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,3072,all,all,UC / Single Minors,Title 8
43,2018,2018,OCT,OCT,3808,all,all,UC / Single Minors,Title 8
44,2019,2019,OCT,OCT,5418,all,all,UC / Single Minors,Title 8
45,2020,2020,OCT,OCT,3201,all,all,UC / Single Minors,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,1626,all,all,UC / Single Minors,Title 8
0,2020,2020,SEP,SEP,2596,all,all,UC / Single Minors,Title 42
1,2020,2020,AUG,AUG,2603,all,all,UC / Single Minors,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,26,all,all,UC / Single Minors,Title 42
3,2020,2020,JUL,JUL,2297,all,all,UC / Single Minors,Title 42
4,2020,2020,JUN,JUN,1563,all,all,UC / Single Minors,Title 42
5,2020,2020,MAY,MAY,954,all,all,UC / Single Minors,Title 42
6,2020,2020,APR,APR,678,all,all,UC / Single Minors,Title 42
7,2021 (FYTD),2021 (FYTD),APR,APR,1,all,all,UC / Single Minors,Title 42
8,2020,2020,MAR,MAR,466,all,all,UC / Single Minors,Title 42
9,2021 (FYTD),2021 (FYTD),FEB,FEB,5,all,all,UC / Single Minors,Title 42
10,2021 (FYTD),2021 (FYTD),JAN,JAN,18,all,all,UC / Single Minors,Title 42
11,2021 (FYTD),2021 (FYTD),DEC,DEC,2,all,all,UC / Single Minors,Title 42
12,2021 (FYTD),2021 (FYTD),NOV,NOV,1519,all,all,UC / Single Minors,Title 42
13,2021 (FYTD),2021 (FYTD),OCT,OCT,3187,all,all,UC / Single Minors,Title 42
0,2018,2018,SEP,SEP,9082,all,Office of Field Operations,all,all
1,2019,2019,SEP,SEP,12039,all,Office of Field Operations,all,all
2,2020,2020,SEP,SEP,2903,all,Office of Field Operations,all,all
3,2018,2018,AUG,AUG,9195,all,Office of Field Operations,all,all
4,2019,2019,AUG,AUG,12023,all,Office of Field Operations,all,all
5,2020,2020,AUG,AUG,2731,all,Office of Field Operations,all,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,13329,all,Office of Field Operations,all,all
7,2018,2018,JUL,JUL,8850,all,Office of Field Operations,all,all
8,2019,2019,JUL,JUL,9799,all,Office of Field Operations,all,all
9,2020,2020,JUL,JUL,2393,all,Office of Field Operations,all,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,12935,all,Office of Field Operations,all,all
11,2018,2018,JUN,JUN,9091,all,Office of Field Operations,all,all
12,2019,2019,JUN,JUN,9409,all,Office of Field Operations,all,all
13,2020,2020,JUN,JUN,2213,all,Office of Field Operations,all,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,10385,all,Office of Field Operations,all,all
15,2018,2018,MAY,MAY,11523,all,Office of Field Operations,all,all
16,2019,2019,MAY,MAY,11260,all,Office of Field Operations,all,all
17,2020,2020,MAY,MAY,1644,all,Office of Field Operations,all,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,7943,all,Office of Field Operations,all,all
19,2018,2018,APR,APR,12925,all,Office of Field Operations,all,all
20,2019,2019,APR,APR,10142,all,Office of Field Operations,all,all
21,2020,2020,APR,APR,924,all,Office of Field Operations,all,all
22,2021 (FYTD),2021 (FYTD),APR,APR,5096,all,Office of Field Operations,all,all
23,2018,2018,MAR,MAR,12957,all,Office of Field Operations,all,all
24,2019,2019,MAR,MAR,10898,all,Office of Field Operations,all,all
25,2020,2020,MAR,MAR,4071,all,Office of Field Operations,all,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,4061,all,Office of Field Operations,all,all
27,2018,2018,FEB,FEB,10085,all,Office of Field Operations,all,all
28,2019,2019,FEB,FEB,9662,all,Office of Field Operations,all,all
29,2020,2020,FEB,FEB,6610,all,Office of Field Operations,all,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,3456,all,Office of Field Operations,all,all
31,2018,2018,JAN,JAN,9930,all,Office of Field Operations,all,all
32,2019,2019,JAN,JAN,10338,all,Office of Field Operations,all,all
33,2020,2020,JAN,JAN,7380,all,Office of Field Operations,all,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,3097,all,Office of Field Operations,all,all
35,2018,2018,DEC,DEC,11524,all,Office of Field Operations,all,all
36,2019,2019,DEC,DEC,10043,all,Office of Field Operations,all,all
37,2020,2020,DEC,DEC,7712,all,Office of Field Operations,all,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,2853,all,Office of Field Operations,all,all
39,2018,2018,NOV,NOV,9966,all,Office of Field Operations,all,all
40,2019,2019,NOV,NOV,10612,all,Office of Field Operations,all,all
41,2020,2020,NOV,NOV,9119,all,Office of Field Operations,all,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,2944,all,Office of Field Operations,all,all
43,2018,2018,OCT,OCT,9383,all,Office of Field Operations,all,all
44,2019,2019,OCT,OCT,9776,all,Office of Field Operations,all,all
45,2020,2020,OCT,OCT,9737,all,Office of Field Operations,all,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,2897,all,Office of Field Operations,all,all
0,2018,2018,SEP,SEP,9082,all,Office of Field Operations,all,Title 8
1,2019,2019,SEP,SEP,12039,all,Office of Field Operations,all,Title 8
2,2020,2020,SEP,SEP,1163,all,Office of Field Operations,all,Title 8
3,2018,2018,AUG,AUG,9195,all,Office of Field Operations,all,Title 8
4,2019,2019,AUG,AUG,12023,all,Office of Field Operations,all,Title 8
5,2020,2020,AUG,AUG,1020,all,Office of Field Operations,all,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,11062,all,Office of Field Operations,all,Title 8
7,2018,2018,JUL,JUL,8850,all,Office of Field Operations,all,Title 8
8,2019,2019,JUL,JUL,9799,all,Office of Field Operations,all,Title 8
9,2020,2020,JUL,JUL,898,all,Office of Field Operations,all,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,10899,all,Office of Field Operations,all,Title 8
11,2018,2018,JUN,JUN,9091,all,Office of Field Operations,all,Title 8
12,2019,2019,JUN,JUN,9409,all,Office of Field Operations,all,Title 8
13,2020,2020,JUN,JUN,854,all,Office of Field Operations,all,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,8492,all,Office of Field Operations,all,Title 8
15,2018,2018,MAY,MAY,11523,all,Office of Field Operations,all,Title 8
16,2019,2019,MAY,MAY,11260,all,Office of Field Operations,all,Title 8
17,2020,2020,MAY,MAY,793,all,Office of Field Operations,all,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,6040,all,Office of Field Operations,all,Title 8
19,2018,2018,APR,APR,12925,all,Office of Field Operations,all,Title 8
20,2019,2019,APR,APR,10142,all,Office of Field Operations,all,Title 8
21,2020,2020,APR,APR,405,all,Office of Field Operations,all,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,3345,all,Office of Field Operations,all,Title 8
23,2018,2018,MAR,MAR,12957,all,Office of Field Operations,all,Title 8
24,2019,2019,MAR,MAR,10898,all,Office of Field Operations,all,Title 8
25,2020,2020,MAR,MAR,4002,all,Office of Field Operations,all,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,2058,all,Office of Field Operations,all,Title 8
27,2018,2018,FEB,FEB,10085,all,Office of Field Operations,all,Title 8
28,2019,2019,FEB,FEB,9662,all,Office of Field Operations,all,Title 8
29,2020,2020,FEB,FEB,6610,all,Office of Field Operations,all,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,1509,all,Office of Field Operations,all,Title 8
31,2018,2018,JAN,JAN,9930,all,Office of Field Operations,all,Title 8
32,2019,2019,JAN,JAN,10338,all,Office of Field Operations,all,Title 8
33,2020,2020,JAN,JAN,7380,all,Office of Field Operations,all,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,1322,all,Office of Field Operations,all,Title 8
35,2018,2018,DEC,DEC,11524,all,Office of Field Operations,all,Title 8
36,2019,2019,DEC,DEC,10043,all,Office of Field Operations,all,Title 8
37,2020,2020,DEC,DEC,7712,all,Office of Field Operations,all,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,1106,all,Office of Field Operations,all,Title 8
39,2018,2018,NOV,NOV,9966,all,Office of Field Operations,all,Title 8
40,2019,2019,NOV,NOV,10612,all,Office of Field Operations,all,Title 8
41,2020,2020,NOV,NOV,9119,all,Office of Field Operations,all,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,1002,all,Office of Field Operations,all,Title 8
43,2018,2018,OCT,OCT,9383,all,Office of Field Operations,all,Title 8
44,2019,2019,OCT,OCT,9776,all,Office of Field Operations,all,Title 8
45,2020,2020,OCT,OCT,9737,all,Office of Field Operations,all,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,994,all,Office of Field Operations,all,Title 8
0,2020,2020,SEP,SEP,1740,all,Office of Field Operations,all,Title 42
1,2020,2020,AUG,AUG,1711,all,Office of Field Operations,all,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,2267,all,Office of Field Operations,all,Title 42
3,2020,2020,JUL,JUL,1495,all,Office of Field Operations,all,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,2036,all,Office of Field Operations,all,Title 42
5,2020,2020,JUN,JUN,1359,all,Office of Field Operations,all,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,1893,all,Office of Field Operations,all,Title 42
7,2020,2020,MAY,MAY,851,all,Office of Field Operations,all,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,1903,all,Office of Field Operations,all,Title 42
9,2020,2020,APR,APR,519,all,Office of Field Operations,all,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,1751,all,Office of Field Operations,all,Title 42
11,2020,2020,MAR,MAR,69,all,Office of Field Operations,all,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,2003,all,Office of Field Operations,all,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,1947,all,Office of Field Operations,all,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,1775,all,Office of Field Operations,all,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,1747,all,Office of Field Operations,all,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,1942,all,Office of Field Operations,all,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,1903,all,Office of Field Operations,all,Title 42
0,2018,2018,SEP,SEP,93,all,Office of Field Operations,Accompanied Minors,all
1,2019,2019,SEP,SEP,74,all,Office of Field Operations,Accompanied Minors,all
2,2020,2020,SEP,SEP,87,all,Office of Field Operations,Accompanied Minors,all
3,2018,2018,AUG,AUG,100,all,Office of Field Operations,Accompanied Minors,all
4,2019,2019,AUG,AUG,86,all,Office of Field Operations,Accompanied Minors,all
5,2020,2020,AUG,AUG,101,all,Office of Field Operations,Accompanied Minors,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,424,all,Office of Field Operations,Accompanied Minors,all
7,2018,2018,JUL,JUL,121,all,Office of Field Operations,Accompanied Minors,all
8,2019,2019,JUL,JUL,87,all,Office of Field Operations,Accompanied Minors,all
9,2020,2020,JUL,JUL,68,all,Office of Field Operations,Accompanied Minors,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,305,all,Office of Field Operations,Accompanied Minors,all
11,2018,2018,JUN,JUN,118,all,Office of Field Operations,Accompanied Minors,all
12,2019,2019,JUN,JUN,68,all,Office of Field Operations,Accompanied Minors,all
13,2020,2020,JUN,JUN,56,all,Office of Field Operations,Accompanied Minors,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,169,all,Office of Field Operations,Accompanied Minors,all
15,2018,2018,MAY,MAY,119,all,Office of Field Operations,Accompanied Minors,all
16,2019,2019,MAY,MAY,70,all,Office of Field Operations,Accompanied Minors,all
17,2020,2020,MAY,MAY,30,all,Office of Field Operations,Accompanied Minors,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,155,all,Office of Field Operations,Accompanied Minors,all
19,2018,2018,APR,APR,130,all,Office of Field Operations,Accompanied Minors,all
20,2019,2019,APR,APR,92,all,Office of Field Operations,Accompanied Minors,all
21,2020,2020,APR,APR,18,all,Office of Field Operations,Accompanied Minors,all
22,2021 (FYTD),2021 (FYTD),APR,APR,134,all,Office of Field Operations,Accompanied Minors,all
23,2018,2018,MAR,MAR,138,all,Office of Field Operations,Accompanied Minors,all
24,2019,2019,MAR,MAR,91,all,Office of Field Operations,Accompanied Minors,all
25,2020,2020,MAR,MAR,40,all,Office of Field Operations,Accompanied Minors,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,159,all,Office of Field Operations,Accompanied Minors,all
27,2018,2018,FEB,FEB,127,all,Office of Field Operations,Accompanied Minors,all
28,2019,2019,FEB,FEB,76,all,Office of Field Operations,Accompanied Minors,all
29,2020,2020,FEB,FEB,38,all,Office of Field Operations,Accompanied Minors,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,145,all,Office of Field Operations,Accompanied Minors,all
31,2018,2018,JAN,JAN,89,all,Office of Field Operations,Accompanied Minors,all
32,2019,2019,JAN,JAN,70,all,Office of Field Operations,Accompanied Minors,all
33,2020,2020,JAN,JAN,33,all,Office of Field Operations,Accompanied Minors,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,105,all,Office of Field Operations,Accompanied Minors,all
35,2018,2018,DEC,DEC,132,all,Office of Field Operations,Accompanied Minors,all
36,2019,2019,DEC,DEC,81,all,Office of Field Operations,Accompanied Minors,all
37,2020,2020,DEC,DEC,61,all,Office of Field Operations,Accompanied Minors,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,87,all,Office of Field Operations,Accompanied Minors,all
39,2018,2018,NOV,NOV,95,all,Office of Field Operations,Accompanied Minors,all
40,2019,2019,NOV,NOV,70,all,Office of Field Operations,Accompanied Minors,all
41,2020,2020,NOV,NOV,53,all,Office of Field Operations,Accompanied Minors,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,89,all,Office of Field Operations,Accompanied Minors,all
43,2018,2018,OCT,OCT,120,all,Office of Field Operations,Accompanied Minors,all
44,2019,2019,OCT,OCT,86,all,Office of Field Operations,Accompanied Minors,all
45,2020,2020,OCT,OCT,102,all,Office of Field Operations,Accompanied Minors,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,112,all,Office of Field Operations,Accompanied Minors,all
0,2018,2018,SEP,SEP,93,all,Office of Field Operations,Accompanied Minors,Title 8
1,2019,2019,SEP,SEP,74,all,Office of Field Operations,Accompanied Minors,Title 8
2,2020,2020,SEP,SEP,7,all,Office of Field Operations,Accompanied Minors,Title 8
3,2018,2018,AUG,AUG,100,all,Office of Field Operations,Accompanied Minors,Title 8
4,2019,2019,AUG,AUG,86,all,Office of Field Operations,Accompanied Minors,Title 8
5,2020,2020,AUG,AUG,20,all,Office of Field Operations,Accompanied Minors,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,171,all,Office of Field Operations,Accompanied Minors,Title 8
7,2018,2018,JUL,JUL,121,all,Office of Field Operations,Accompanied Minors,Title 8
8,2019,2019,JUL,JUL,87,all,Office of Field Operations,Accompanied Minors,Title 8
9,2020,2020,JUL,JUL,7,all,Office of Field Operations,Accompanied Minors,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,28,all,Office of Field Operations,Accompanied Minors,Title 8
11,2018,2018,JUN,JUN,118,all,Office of Field Operations,Accompanied Minors,Title 8
12,2019,2019,JUN,JUN,68,all,Office of Field Operations,Accompanied Minors,Title 8
13,2020,2020,JUN,JUN,6,all,Office of Field Operations,Accompanied Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,41,all,Office of Field Operations,Accompanied Minors,Title 8
15,2018,2018,MAY,MAY,119,all,Office of Field Operations,Accompanied Minors,Title 8
16,2019,2019,MAY,MAY,70,all,Office of Field Operations,Accompanied Minors,Title 8
17,2020,2020,MAY,MAY,7,all,Office of Field Operations,Accompanied Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,40,all,Office of Field Operations,Accompanied Minors,Title 8
